Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters)
F1863,Maize,86.6,Drip,2.72,1.03,950.07,Clay,Zaid,32150.54
F1864,Wheat,178.47,Rain-fed,8.2,1.3,1401.72,Loamy,Kharif,40322.2
F1865,Potato,365.24,Sprinkler,15.49,3.56,6350.78,Clay,Kharif,119578.06
F1866,Sugarcane,17.69,Sprinkler,0.41,0.32,398.6,Sandy,Rabi,6105.37
F1867,Tomato,151.8,Rain-fed,4.59,2.8,3060.3,Peaty,Kharif,57106.31
F1868,Carrot,324.31,Rain-fed,12.98,4.59,5436.46,Peaty,Zaid,130623.79
F1869,Cotton,101.12,Drip,1.79,1.26,535.43,Silty,Rabi,15626.62
F1870,Wheat,158.33,Flood,1.78,2.48,2025.81,Loamy,Zaid,76962.87
F1871,Soybean,248.16,Sprinkler,10.94,3.51,2940.6,Loamy,Kharif,108560.53
F1872,Tomato,216.79,Drip,3.36,4.28,4147.94,Silty,Zaid,70441.54
F1873,Cotton,61.95,Rain-fed,2.82,0.49,704.65,Clay,Zaid,28259.61
F1874,Maize,469.74,Drip,21.86,5.51,4117.99,Peaty,Kharif,118830.44
F1875,Carrot,31.7,Rain-fed,0.9,0.6,345.42,Peaty,Kharif,3605.14
F1876,Wheat,377.37,Manual,15.95,7.06,4195.74,Loamy,Rabi,147482.48
F1877,Wheat,45.0,Rain-fed,1.1,0.56,571.72,Loamy,Rabi,21478.84
F1878,Wheat,238.97,Rain-fed,10.59,1.68,1579.25,Silty,Rabi,39369.18
F1879,Maize,95.95,Rain-fed,4.12,1.65,1020.27,Sandy,Kharif,34307.43
F1880,Sugarcane,79.14,Flood,1.04,1.09,1902.57,Clay,Zaid,33662.91
F1881,Soybean,71.69,Rain-fed,2.39,1.19,862.23,Sandy,Zaid,33122.71
F1882,Maize,231.87,Sprinkler,8.25,2.77,1799.56,Sandy,Rabi,48833.44
F1883,Potato,262.59,Sprinkler,2.63,2.12,3593.77,Loamy,Rabi,39780.32
F1884,Soybean,75.36,Drip,3.71,0.4,540.34,Loamy,Kharif,15006.88
F1885,Rice,489.9,Flood,12.87,6.56,5056.65,Loamy,Zaid,162201.63
F1886,Carrot,136.31,Drip,4.18,1.01,2466.19,Sandy,Rabi,63721.54
F1887,Maize,234.83,Sprinkler,4.18,1.83,2373.97,Clay,Kharif,78202.51
F1888,Cotton,115.97,Sprinkler,3.99,1.34,1356.62,Loamy,Rabi,54257.37
F1889,Soybean,252.02,Manual,10.69,2.93,2806.22,Peaty,Kharif,102828.75
F1890,Potato,380.45,Rain-fed,12.72,3.47,6633.97,Clay,Zaid,129107.27
F1891,Rice,265.34,Sprinkler,11.02,1.85,1601.49,Peaty,Kharif,28847.61
F1892,Sugarcane,149.97,Drip,5.89,2.88,3071.5,Clay,Rabi,34977.07
F1893,Cotton,131.71,Drip,2.57,0.92,621.01,Loamy,Rabi,16198.73
F1894,Soybean,381.88,Rain-fed,10.48,3.92,2832.24,Silty,Zaid,87410.67
F1895,Carrot,67.94,Rain-fed,1.08,0.65,751.89,Loamy,Zaid,8487.56
F1896,Cotton,191.28,Manual,2.23,3.44,1014.18,Sandy,Rabi,31968.53
F1897,Rice,84.23,Flood,1.05,0.94,742.22,Sandy,Rabi,22258.91
F1898,Cotton,136.41,Drip,6.51,0.94,1164.94,Clay,Rabi,41734.61
F1899,Barley,84.81,Rain-fed,4.19,0.44,550.17,Sandy,Zaid,15848.21
F1900,Tomato,444.52,Drip,6.13,7.04,9131.98,Loamy,Rabi,174709.54
F1901,Sugarcane,368.63,Rain-fed,8.63,5.79,8217.95,Peaty,Zaid,123914.47
F1902,Rice,284.85,Sprinkler,4.15,3.21,3195.18,Loamy,Rabi,107305.83
F1903,Cotton,119.97,Drip,5.2,0.83,1228.28,Clay,Kharif,47160.31
F1904,Tomato,260.01,Sprinkler,7.76,2.75,5333.47,Sandy,Kharif,101604.07
F1905,Tomato,265.21,Drip,9.24,3.67,5916.04,Peaty,Rabi,125839.62
F1906,Cotton,299.3,Flood,9.46,4.66,1835.85,Silty,Kharif,58329.59
F1907,Carrot,39.44,Manual,1.51,0.24,508.8,Peaty,Zaid,8206.33
F1908,Barley,486.72,Sprinkler,11.08,6.5,2650.54,Peaty,Kharif,67012.09
F1909,Maize,238.07,Rain-fed,3.69,2.18,2410.95,Loamy,Kharif,80236.16
F1910,Barley,464.0,Flood,4.97,6.62,3579.46,Silty,Zaid,119746.58
F1911,Cotton,14.81,Drip,0.41,0.22,121.38,Clay,Kharif,4419.28
F1912,Sugarcane,131.3,Sprinkler,6.08,2.45,2521.44,Clay,Kharif,22049.63
F1913,Maize,60.96,Drip,1.35,0.68,653.27,Peaty,Rabi,21921.9
F1914,Rice,387.11,Drip,6.91,5.06,4105.58,Peaty,Zaid,134563.1
F1915,Barley,166.86,Drip,7.85,1.51,1160.94,Sandy,Zaid,34359.03
F1916,Cotton,421.84,Manual,6.0,3.92,3294.24,Silty,Rabi,120716.93
F1917,Barley,417.87,Manual,5.04,2.38,4894.88,Peaty,Rabi,191267.08
F1918,Maize,337.22,Rain-fed,15.23,3.13,3949.36,Sandy,Kharif,138057.51
F1919,Potato,336.23,Sprinkler,12.79,2.0,4933.2,Silty,Kharif,64145.72
F1920,Soybean,353.08,Flood,9.49,6.87,4193.7,Clay,Kharif,159429.64
F1921,Barley,340.14,Flood,13.64,4.89,1794.66,Sandy,Rabi,43172.88
F1922,Rice,199.59,Flood,7.92,1.52,1819.4,Silty,Zaid,53004.1
F1923,Rice,344.59,Drip,4.0,2.33,2144.53,Sandy,Kharif,45501.59
F1924,Wheat,449.73,Manual,16.66,4.75,5683.89,Peaty,Rabi,211231.47
F1925,Barley,172.96,Sprinkler,6.16,1.66,891.07,Loamy,Zaid,20112.08
F1926,Soybean,473.0,Drip,22.96,4.35,2994.42,Clay,Rabi,75913.96
F1927,Carrot,16.65,Manual,0.81,0.2,302.18,Peaty,Kharif,7761.49
F1928,Tomato,181.05,Manual,4.55,3.38,3491.03,Peaty,Rabi,60265.0
F1929,Soybean,74.73,Sprinkler,2.51,1.01,849.64,Silty,Rabi,31242.01
F1930,Tomato,72.04,Sprinkler,1.13,0.92,1060.34,Sandy,Rabi,7677.17
F1931,Tomato,409.56,Sprinkler,5.18,7.0,7348.63,Clay,Rabi,109613.95
F1932,Potato,460.0,Drip,12.56,2.33,9489.37,Peaty,Zaid,227141.91
F1933,Wheat,391.1,Rain-fed,14.7,3.11,3866.21,Silty,Kharif,129817.41
F1934,Soybean,488.54,Sprinkler,15.98,6.08,5731.48,Clay,Zaid,214896.36
F1935,Soybean,116.0,Rain-fed,3.15,1.81,1447.61,Sandy,Rabi,56309.74
F1936,Potato,78.99,Drip,3.37,0.97,1450.71,Peaty,Rabi,29544.27
F1937,Barley,265.14,Rain-fed,11.08,1.98,1957.54,Peaty,Kharif,61262.3
F1938,Barley,416.23,Flood,16.35,7.89,3011.92,Peaty,Kharif,93003.24
F1939,Barley,29.52,Rain-fed,0.39,0.29,149.23,Clay,Zaid,3793.79
F1940,Sugarcane,497.83,Sprinkler,20.84,8.38,10562.19,Clay,Zaid,134965.35
F1941,Tomato,305.1,Drip,14.27,5.61,6770.86,Clay,Kharif,142224.36
F1942,Sugarcane,489.68,Sprinkler,6.06,4.99,10480.62,Clay,Zaid,142607.48
F1943,Wheat,188.89,Flood,4.92,3.34,2358.0,Silty,Rabi,87720.13
F1944,Potato,234.43,Sprinkler,11.61,3.67,4568.24,Loamy,Rabi,100068.75
F1945,Soybean,378.66,Sprinkler,12.86,7.03,4869.36,Silty,Kharif,186933.49
F1946,Tomato,398.42,Sprinkler,12.17,3.49,8896.63,Peaty,Zaid,190875.84
F1947,Sugarcane,124.19,Manual,2.12,2.36,2885.06,Silty,Rabi,47512.81
F1948,Sugarcane,465.6,Flood,15.19,2.78,11483.04,Sandy,Kharif,208816.64
F1949,Cotton,435.04,Sprinkler,11.99,7.35,4421.89,Clay,Zaid,173680.42
F1950,Sugarcane,18.92,Sprinkler,0.29,0.22,439.21,Sandy,Rabi,7215.52
F1951,Carrot,73.0,Sprinkler,2.09,0.56,1197.18,Sandy,Zaid,28193.71
F1952,Soybean,253.09,Drip,4.2,1.57,2690.92,Peaty,Zaid,98303.64
F1953,Carrot,235.87,Manual,9.25,2.56,3242.39,Clay,Zaid,59383.97
F1954,Soybean,357.11,Drip,17.48,3.87,3020.29,Sandy,Kharif,96214.76
F1955,Potato,53.96,Manual,1.55,0.46,811.4,Peaty,Rabi,11742.92
F1956,Soybean,325.98,Sprinkler,11.51,2.68,2012.51,Clay,Kharif,51929.85
F1957,Carrot,312.02,Flood,8.5,3.43,4497.0,Loamy,Rabi,88419.76
F1958,Soybean,124.47,Rain-fed,1.93,1.39,1487.51,Peaty,Rabi,57255.33
F1959,Potato,275.77,Rain-fed,13.46,3.21,4973.78,Silty,Kharif,99417.8
F1960,Potato,118.88,Sprinkler,1.8,2.14,1551.03,Clay,Kharif,14559.68
F1961,Wheat,81.99,Drip,1.19,1.16,949.7,Sandy,Rabi,34804.08
F1962,Soybean,290.84,Flood,8.25,1.54,3593.06,Sandy,Rabi,137903.03
F1963,Cotton,488.96,Manual,17.78,6.25,5323.76,Silty,Rabi,211118.79
F1964,Barley,126.1,Sprinkler,3.05,2.07,1325.86,Silty,Zaid,49306.15
F1965,Rice,184.11,Flood,3.26,1.08,1249.22,Sandy,Rabi,29467.22
F1966,Potato,135.72,Flood,5.8,1.54,2115.9,Clay,Kharif,32518.72
F1967,Maize,140.57,Manual,3.45,1.65,1399.07,Peaty,Kharif,45840.42
F1968,Barley,208.05,Flood,3.7,4.02,1087.94,Silty,Kharif,27201.9
F1969,Tomato,353.91,Drip,8.71,4.29,5524.73,Silty,Rabi,50434.92
F1970,Soybean,29.01,Drip,0.54,0.47,359.02,Silty,Rabi,13744.08
F1971,Carrot,478.99,Drip,14.74,4.57,7869.4,Loamy,Zaid,182532.15
F1972,Rice,32.68,Flood,1.2,0.55,258.62,Clay,Zaid,6863.34
F1973,Maize,441.81,Drip,18.55,4.35,3656.11,Clay,Kharif,102034.36
F1974,Barley,448.25,Manual,8.56,5.13,3417.38,Clay,Zaid,113751.97
F1975,Soybean,267.0,Flood,4.45,3.26,1433.1,Clay,Zaid,34717.58
F1976,Wheat,77.13,Rain-fed,0.83,1.46,838.62,Clay,Kharif,30517.47
F1977,Tomato,286.92,Flood,5.49,1.66,4593.69,Sandy,Rabi,48987.15
F1978,Rice,318.03,Manual,3.48,2.53,3808.33,Silty,Zaid,134223.83
F1979,Cotton,430.3,Rain-fed,10.25,6.71,4651.9,Sandy,Rabi,188622.39
F1980,Wheat,279.94,Flood,4.43,3.82,2867.44,Loamy,Kharif,99482.86
F1981,Maize,211.25,Drip,7.01,1.85,2485.98,Peaty,Kharif,86176.77
F1982,Rice,420.76,Sprinkler,10.67,3.93,2987.19,Silty,Zaid,70997.0
F1983,Wheat,490.67,Sprinkler,6.74,5.16,4796.72,Loamy,Kharif,162104.2
F1984,Tomato,326.1,Drip,8.48,3.83,6553.67,Sandy,Kharif,120891.91
F1985,Cotton,438.45,Sprinkler,8.06,7.57,4137.94,Peaty,Kharif,159869.37
F1986,Wheat,303.38,Sprinkler,11.29,1.58,1908.37,Loamy,Zaid,44571.39
F1987,Sugarcane,348.0,Drip,8.55,6.43,7115.22,Peaty,Zaid,82737.12
F1988,Cotton,347.2,Drip,5.51,3.89,2355.34,Loamy,Zaid,79861.65
F1989,Maize,355.35,Flood,8.52,3.01,3552.29,Sandy,Kharif,116912.53
F1990,Tomato,167.3,Flood,3.17,2.11,3472.38,Peaty,Rabi,67938.28
F1991,Soybean,292.07,Drip,12.22,4.35,2822.8,Loamy,Kharif,95869.27
F1992,Carrot,301.13,Manual,14.86,1.71,5060.82,Sandy,Zaid,121032.04
F1993,Carrot,164.39,Sprinkler,1.81,2.59,1876.08,Silty,Rabi,22946.03
F1994,Carrot,181.43,Flood,6.82,2.98,3217.92,Sandy,Rabi,81870.23
F1995,Rice,383.5,Sprinkler,7.88,2.87,3798.55,Sandy,Zaid,120667.35
F1996,Maize,295.53,Rain-fed,3.74,2.22,1672.34,Silty,Rabi,33986.33
F1997,Tomato,83.11,Drip,0.88,0.67,1639.51,Sandy,Rabi,29695.21
F1998,Cotton,420.44,Manual,19.02,7.13,3540.06,Silty,Zaid,129050.03
F1999,Rice,442.73,Rain-fed,10.69,4.02,3280.1,Silty,Rabi,83297.94
F2000,Maize,238.41,Rain-fed,11.87,4.04,2799.6,Silty,Rabi,96739.33
F2001,Soybean,112.36,Rain-fed,3.11,1.47,1384.42,Loamy,Zaid,53196.49
F2002,Sugarcane,474.33,Drip,8.3,7.83,9606.06,Peaty,Rabi,108655.73
F2003,Tomato,442.31,Flood,18.17,5.89,8315.51,Loamy,Rabi,131617.16
F2004,Carrot,129.75,Drip,6.11,1.3,1553.3,Silty,Rabi,19626.84
F2005,Wheat,56.84,Flood,2.42,1.06,724.35,Peaty,Rabi,26824.37
F2006,Tomato,225.92,Rain-fed,8.99,3.55,3897.5,Peaty,Zaid,51401.02
F2007,Potato,341.43,Rain-fed,7.99,4.19,4841.06,Silty,Kharif,60745.94
F2008,Maize,95.94,Manual,1.21,1.4,878.28,Peaty,Kharif,27954.3
F2009,Barley,261.47,Flood,4.72,3.72,1298.99,Peaty,Rabi,30674.32
F2010,Soybean,218.45,Rain-fed,6.09,2.27,1503.96,Loamy,Zaid,43938.6
F2011,Sugarcane,446.37,Sprinkler,21.54,5.07,8223.55,Peaty,Zaid,56717.16
F2012,Soybean,220.49,Manual,8.58,2.16,1323.14,Silty,Rabi,33282.27
F2013,Tomato,271.55,Drip,11.71,5.43,4272.12,Clay,Kharif,39337.62
F2014,Barley,478.09,Manual,10.08,6.55,5530.07,Clay,Rabi,214647.21
F2015,Potato,156.85,Sprinkler,5.86,1.0,3173.55,Clay,Zaid,74059.99
F2016,Cotton,151.61,Flood,6.75,1.94,1231.61,Silty,Zaid,43936.63
F2017,Wheat,401.8,Drip,11.72,2.31,4142.37,Clay,Kharif,141501.19
F2018,Barley,145.99,Drip,3.97,1.36,1510.57,Loamy,Zaid,55238.44
F2019,Maize,417.61,Flood,16.19,4.88,3639.78,Silty,Zaid,107128.64
F2020,Carrot,56.81,Manual,1.84,0.74,775.59,Silty,Zaid,14094.27
F2021,Potato,64.52,Rain-fed,3.21,1.27,1175.09,Silty,Kharif,23886.35
F2022,Wheat,451.65,Manual,12.2,8.91,3667.63,Peaty,Zaid,113221.86
F2023,Sugarcane,275.0,Sprinkler,4.69,1.78,6139.32,Peaty,Rabi,91410.39
F2024,Carrot,362.22,Rain-fed,10.46,4.73,5347.56,Peaty,Kharif,110866.95
F2025,Tomato,120.39,Manual,2.34,2.08,2253.63,Sandy,Rabi,37295.41
F2026,Barley,91.47,Flood,2.97,0.78,1045.44,Loamy,Rabi,39493.5
F2027,Wheat,419.13,Sprinkler,6.3,6.81,4515.65,Silty,Kharif,159948.66
F2028,Rice,185.73,Sprinkler,8.91,3.38,2524.92,Silty,Rabi,89941.84
F2029,Cotton,232.97,Sprinkler,10.34,3.48,2489.97,Peaty,Kharif,97004.86
F2030,Cotton,23.71,Rain-fed,0.38,0.24,124.37,Silty,Rabi,3753.1
F2031,Potato,199.08,Drip,3.36,3.75,3698.24,Silty,Kharif,78715.52
F2032,Sugarcane,387.51,Rain-fed,11.82,7.07,8883.54,Clay,Zaid,141930.69
F2033,Potato,412.42,Manual,16.87,6.49,7390.02,Silty,Zaid,147820.32
F2034,Rice,352.39,Drip,6.61,3.68,3342.31,Sandy,Rabi,103002.79
F2035,Maize,349.17,Manual,4.34,5.89,2024.68,Peaty,Zaid,43640.97
F2036,Sugarcane,258.06,Drip,8.21,2.51,6566.84,Loamy,Kharif,124020.74
F2037,Soybean,273.78,Rain-fed,10.31,2.41,3227.97,Loamy,Rabi,120674.58
F2038,Maize,373.89,Sprinkler,7.39,4.76,3486.33,Clay,Zaid,110193.93
F2039,Sugarcane,131.18,Flood,5.19,2.62,2499.66,Loamy,Zaid,21438.71
F2040,Sugarcane,123.44,Sprinkler,5.93,2.11,3027.92,Loamy,Rabi,53054.61
F2041,Rice,475.46,Rain-fed,7.36,7.58,4256.06,Peaty,Zaid,129453.71
F2042,Tomato,23.57,Drip,0.72,0.28,421.38,Peaty,Zaid,6034.49
F2043,Rice,78.34,Sprinkler,0.96,0.76,853.27,Sandy,Rabi,28683.71
F2044,Sugarcane,289.46,Rain-fed,5.29,5.16,6823.22,Clay,Zaid,116789.64
F2045,Wheat,371.54,Manual,5.05,5.02,2066.1,Loamy,Zaid,46493.02
F2046,Maize,273.57,Flood,7.16,4.71,3153.71,Sandy,Zaid,111347.79
F2047,Rice,183.98,Sprinkler,7.88,2.27,2150.23,Clay,Zaid,72410.68
F2048,Tomato,489.21,Drip,16.19,7.98,9563.74,Loamy,Rabi,164219.32
F2049,Barley,354.89,Manual,6.71,6.39,2595.84,Loamy,Kharif,83529.08
F2050,Potato,417.38,Rain-fed,4.84,4.54,5771.82,Peaty,Kharif,69252.3
F2051,Sugarcane,29.72,Flood,0.96,0.15,552.0,Silty,Zaid,4192.48
F2052,Soybean,125.6,Drip,1.92,1.11,607.34,Clay,Zaid,12619.55
F2053,Barley,193.34,Rain-fed,4.58,3.62,1213.27,Loamy,Kharif,35301.5
F2054,Cotton,99.47,Rain-fed,3.02,1.52,735.92,Clay,Zaid,26314.51
F2055,Carrot,45.72,Sprinkler,2.11,0.73,583.4,Sandy,Kharif,9027.89
F2056,Tomato,120.29,Sprinkler,1.6,1.19,2050.83,Sandy,Rabi,26896.94
F2057,Soybean,271.48,Drip,9.98,4.21,2218.28,Silty,Rabi,69548.38
F2058,Carrot,350.92,Rain-fed,3.71,5.16,4564.19,Loamy,Rabi,78361.09
F2059,Tomato,389.27,Sprinkler,13.7,2.99,8025.01,Peaty,Rabi,151756.39
F2060,Wheat,31.04,Flood,1.0,0.61,285.3,Loamy,Rabi,9208.9
F2061,Potato,219.71,Flood,9.33,2.27,2848.25,Clay,Rabi,23669.89
F2062,Barley,69.88,Rain-fed,2.19,0.69,448.91,Sandy,Kharif,13324.53
F2063,Maize,221.29,Sprinkler,5.33,2.33,2467.03,Clay,Zaid,84944.41
F2064,Tomato,222.65,Drip,4.39,1.42,3815.3,Silty,Kharif,49065.47
F2065,Maize,254.12,Drip,3.41,3.65,3238.88,Sandy,Rabi,118944.32
F2066,Potato,447.49,Drip,14.04,3.84,8268.06,Peaty,Zaid,172311.86
F2067,Sugarcane,404.5,Flood,18.42,6.9,8115.23,Sandy,Zaid,87359.49
F2068,Cotton,321.99,Sprinkler,9.85,3.51,2718.67,Loamy,Rabi,98711.51
F2069,Barley,443.85,Sprinkler,17.56,5.27,4535.61,Loamy,Rabi,162846.47
F2070,Potato,342.45,Flood,7.51,5.03,4841.67,Sandy,Rabi,60732.19
F2071,Potato,411.24,Drip,11.48,6.76,6063.15,Silty,Rabi,81620.64
F2072,Wheat,286.25,Drip,6.58,2.42,2672.29,Loamy,Rabi,86691.08
F2073,Carrot,267.36,Rain-fed,3.84,5.21,4800.56,Loamy,Rabi,125646.5
F2074,Cotton,364.81,Manual,9.73,5.23,2507.15,Peaty,Zaid,86679.81
F2075,Barley,19.65,Sprinkler,0.8,0.1,157.7,Sandy,Rabi,5125.16
F2076,Sugarcane,348.29,Sprinkler,8.99,3.91,6721.08,Loamy,Rabi,61384.57
F2077,Sugarcane,467.91,Sprinkler,16.85,5.41,10551.02,Silty,Zaid,157819.64
F2078,Rice,359.83,Manual,14.52,6.17,4189.36,Clay,Kharif,142515.02
F2079,Potato,28.03,Rain-fed,0.64,0.27,450.7,Sandy,Rabi,7743.18
F2080,Tomato,195.16,Manual,8.18,1.95,4051.08,Peaty,Zaid,78085.05
F2081,Wheat,406.69,Drip,9.58,2.46,3123.87,Loamy,Zaid,89896.6
F2082,Cotton,479.72,Drip,9.71,4.44,4739.65,Silty,Kharif,183633.13
F2083,Sugarcane,191.38,Sprinkler,3.62,3.02,3764.57,Sandy,Rabi,38914.8
F2084,Barley,422.19,Flood,7.6,6.13,4595.74,Silty,Rabi,174049.95
F2085,Rice,433.27,Sprinkler,17.11,2.7,5425.52,Silty,Rabi,187282.46
F2086,Barley,70.41,Flood,3.2,0.47,789.7,Peaty,Zaid,29508.23
F2087,Wheat,424.44,Manual,8.16,4.52,2871.58,Sandy,Rabi,79025.4
F2088,Tomato,168.88,Drip,2.26,2.73,3416.97,Loamy,Rabi,63786.86
F2089,Rice,300.69,Flood,6.78,5.26,2993.71,Peaty,Rabi,94841.37
F2090,Rice,274.09,Manual,9.95,1.43,3750.43,Loamy,Rabi,135514.86
F2091,Carrot,334.9,Drip,8.29,3.33,4558.19,Clay,Kharif,81925.95
F2092,Cotton,372.83,Flood,11.92,4.24,3885.48,Silty,Kharif,152300.31
F2093,Rice,226.03,Sprinkler,8.99,4.22,1978.41,Clay,Kharif,56062.93
F2094,Carrot,445.27,Sprinkler,11.73,5.58,6201.76,Silty,Rabi,115211.09
F2095,Carrot,406.65,Sprinkler,20.33,3.68,4806.94,Peaty,Rabi,58719.6
F2096,Wheat,394.86,Manual,8.65,4.28,2783.77,Loamy,Zaid,77338.33
F2097,Maize,234.54,Sprinkler,11.52,2.71,1652.17,Loamy,Zaid,38885.42
F2098,Barley,28.41,Rain-fed,0.51,0.43,164.88,Peaty,Zaid,4650.27
F2099,Tomato,251.21,Drip,3.63,1.41,3690.41,Sandy,Rabi,26026.56
F2100,Soybean,450.24,Manual,18.02,4.88,5082.28,Clay,Kharif,187980.04
F2101,Barley,103.32,Sprinkler,3.94,1.52,881.75,Clay,Kharif,29670.83
F2102,Rice,491.47,Drip,20.86,4.55,6072.2,Loamy,Kharif,207236.83
F2103,Tomato,405.77,Flood,9.63,5.63,7956.6,Loamy,Rabi,139998.28
F2104,Sugarcane,357.82,Sprinkler,16.9,3.71,8797.81,Loamy,Kharif,154768.23
F2105,Maize,341.81,Drip,5.05,5.6,3229.82,Peaty,Zaid,103057.28
F2106,Sugarcane,297.64,Rain-fed,3.34,1.76,5415.4,Sandy,Zaid,40960.52
F2107,Sugarcane,363.13,Flood,8.0,6.82,8186.36,Clay,Kharif,125898.62
F2108,Cotton,216.73,Rain-fed,9.08,1.64,2098.97,Silty,Zaid,80431.17
F2109,Barley,424.19,Drip,15.66,3.13,4180.51,Peaty,Kharif,148722.13
F2110,Soybean,351.21,Rain-fed,9.64,6.18,3936.16,Clay,Kharif,147695.73
F2111,Wheat,387.91,Drip,7.86,7.0,4247.61,Sandy,Zaid,152294.93
F2112,Soybean,398.32,Drip,4.93,2.55,3302.4,Peaty,Zaid,108762.15
F2113,Sugarcane,55.11,Rain-fed,1.3,1.03,1327.98,Clay,Zaid,23569.17
F2114,Rice,37.26,Drip,1.06,0.34,420.49,Peaty,Zaid,14037.89
F2115,Maize,402.48,Sprinkler,15.09,5.75,2636.24,Clay,Kharif,59626.54
F2116,Potato,137.1,Drip,4.91,0.83,2346.79,Clay,Zaid,43316.05
F2117,Soybean,295.17,Manual,14.14,3.16,3178.77,Sandy,Zaid,115534.25
F2118,Sugarcane,227.42,Drip,3.19,2.67,5026.66,Silty,Rabi,73072.98
F2119,Maize,20.8,Manual,0.49,0.29,268.89,Sandy,Zaid,9975.54
F2120,Tomato,29.74,Drip,0.87,0.38,462.05,Clay,Zaid,4181.03
F2121,Barley,415.29,Drip,15.29,4.95,4405.17,Peaty,Kharif,161518.72
F2122,Carrot,307.76,Rain-fed,9.18,5.97,5283.03,Sandy,Kharif,132270.05
F2123,Cotton,266.68,Sprinkler,12.4,2.07,2680.16,Silty,Rabi,101622.61
F2124,Maize,472.73,Sprinkler,16.24,3.48,4087.88,Clay,Zaid,120184.68
F2125,Rice,94.83,Flood,1.1,1.49,811.66,Sandy,Zaid,24104.11
F2126,Rice,136.41,Rain-fed,1.98,0.83,1385.96,Sandy,Zaid,45645.03
F2127,Maize,380.8,Rain-fed,15.29,4.66,3286.77,Sandy,Zaid,98566.53
F2128,Rice,389.87,Sprinkler,15.06,4.78,4993.29,Sandy,Zaid,176715.47
F2129,Barley,208.4,Rain-fed,3.36,2.01,1127.36,Peaty,Zaid,30003.76
F2130,Rice,475.98,Sprinkler,5.88,9.02,5109.75,Silty,Rabi,169288.24
F2131,Soybean,469.74,Rain-fed,15.57,4.34,2799.86,Silty,Zaid,72174.39
F2132,Carrot,16.08,Drip,0.57,0.15,242.93,Clay,Zaid,5082.55
F2133,Rice,94.44,Sprinkler,1.46,0.8,1075.91,Loamy,Zaid,36476.06
F2134,Carrot,411.91,Sprinkler,11.92,2.96,4981.64,Peaty,Rabi,68460.83
F2135,Sugarcane,174.26,Manual,3.87,1.82,4044.27,Clay,Zaid,66498.47
F2136,Wheat,56.78,Rain-fed,2.68,0.86,362.93,Clay,Rabi,8856.71
F2137,Barley,394.65,Rain-fed,7.41,6.37,3731.88,Sandy,Kharif,137425.47
F2138,Wheat,232.75,Sprinkler,9.15,4.0,2182.57,Loamy,Zaid,70340.75
F2139,Sugarcane,251.28,Drip,7.72,2.0,5082.54,Loamy,Rabi,55088.39
F2140,Barley,101.32,Drip,1.06,0.56,560.25,Peaty,Kharif,14652.99
F2141,Maize,333.84,Drip,10.24,6.55,3836.94,Loamy,Rabi,131646.46
F2142,Maize,280.11,Rain-fed,3.92,1.46,2350.28,Clay,Rabi,70789.53
F2143,Carrot,111.27,Manual,4.05,2.16,1272.36,Loamy,Kharif,14978.28
F2144,Sugarcane,176.76,Sprinkler,5.77,3.08,4235.4,Loamy,Zaid,72316.3
F2145,Carrot,302.47,Flood,3.15,5.65,3750.77,Silty,Zaid,58424.63
F2146,Cotton,463.19,Manual,8.42,5.01,4615.52,Clay,Rabi,182764.87
F2147,Rice,460.98,Flood,18.92,3.67,4782.12,Loamy,Kharif,150262.24
F2148,Potato,151.07,Manual,3.18,2.13,2141.05,Loamy,Zaid,26862.69
F2149,Cotton,370.45,Drip,11.1,5.97,1786.58,Sandy,Rabi,48367.36
F2150,Rice,390.0,Rain-fed,8.77,2.72,4054.07,Loamy,Kharif,131548.31
F2151,Barley,406.32,Flood,19.04,6.89,2066.43,Loamy,Rabi,44729.99
F2152,Carrot,289.67,Manual,9.11,2.35,3256.23,Silty,Kharif,36552.68
F2153,Barley,15.15,Rain-fed,0.57,0.19,155.93,Clay,Zaid,5770.04
F2154,Barley,383.22,Flood,5.11,6.84,3393.1,Peaty,Zaid,120925.33
F2155,Rice,62.23,Sprinkler,0.72,0.49,511.53,Clay,Rabi,14345.78
F2156,Sugarcane,67.27,Manual,1.37,0.58,1469.17,Sandy,Zaid,21235.59
F2157,Rice,306.76,Sprinkler,6.86,1.82,3191.58,Clay,Zaid,103272.44
F2158,Tomato,491.93,Drip,18.45,3.54,9548.63,Loamy,Kharif,160423.82
F2159,Maize,128.84,Sprinkler,4.22,0.93,1372.32,Sandy,Zaid,46000.21
F2160,Maize,326.45,Sprinkler,8.16,2.63,4252.96,Clay,Kharif,155426.55
F2161,Cotton,158.79,Manual,5.74,1.48,1156.26,Sandy,Kharif,40572.67
F2162,Maize,450.38,Drip,7.45,7.76,3544.4,Peaty,Rabi,99290.1
F2163,Rice,300.82,Sprinkler,3.77,5.64,1769.32,Clay,Kharif,34707.17
F2164,Soybean,111.66,Rain-fed,4.93,1.24,688.6,Loamy,Zaid,17735.49
F2165,Carrot,138.44,Flood,4.51,0.96,1597.6,Sandy,Kharif,19728.29
F2166,Rice,221.92,Sprinkler,7.98,1.85,1889.88,Silty,Kharif,51967.67
F2167,Rice,69.8,Drip,1.56,1.12,735.02,Sandy,Rabi,24011.4
